Kat. ceste;Štev. ceste;Štev. odseka;Prometni odsek;Stac. zaèetka;Stac. konca;Števno mesto;Ime števnega mesta;Tip   štetja;Vsa vozila (PLDP);Motorji;Osebna vozila;Avtobusi;Lah. tov.  < 3,5t;Sr. tov.  3,5-7t;Tež. tov. nad 7t;Tov. s prik.;Vlaèilci;Dnevni NOO;Tip
AC;A1;0047;ŠENTJAKOB - SNEBERJE;0;1.159;;;P;67.000;140;52.670;160;6.500;720;390;850;5.570;5.601;PLDP
AC;A1;0047;SNEBERJE - LJ (ZADOBRAVA);1.159;1.545;2401;Sneberje AC;QLTC8;69.056;187;53.540;169;7.349;848;479;904;5.580;5.728;PLDP
AC;A1;0047;LJ (ZADOBRAVA) - R LJ ZADOBROVA;1.545;2.866;1005;Zadobrova AC;QLTC8;33.965;108;25.930;58;3.900;397;231;417;2.924;2.913;PLDP
AC;A1;0146;RAZCEP LJ ZADOBROVA;0;1.730;1001;Razcep Zadobrova-MB;QLTC8;35.091;80;27.611;110;3.449;450;248;487;2.656;2.813;PLDP
AC;A1;0146;RAZCEP LJ ZADOBROVA;1.730;3.161;1003;Razcep Zadobrova-LJvzh;QLTC8;31.415;79;27.574;21;2.658;317;266;105;395;603;PLDP
AC;A1;0048;R LJ ZADOBROVA - IND. CONA MOSTE;0;536;;;P;70.000;85;58.155;40;6.600;710;480;580;3.350;3.553;PLDP
AC;A1;0048;LJ (IND. CONA MOSTE - ZALOŠKA);536;1.331;;;P;69.000;90;57.440;50;6.500;700;500;520;3.200;3.396;PLDP
AC;A1;0049;LJ (ZALOŠKA - LITIJSKA);0;1.275;;;P;60.000;120;48.695;70;6.300;670;465;500;3.180;3.357;PLDP
AC;A1;0050;LJ (LITIJSKA - MALENCE);0;3.460;180;V Obvoznica;QLTC8;57.633;126;46.310;67;6.281;655;454;565;3.175;3.394;PLDP
AC;A1;0050;LJ (LITIJSKA - MALENCE);3.460;3.981;1018;R Malence (LJvzh-LJjug);QLTC8;37.092;121;28.958;69;3.963;429;338;389;2.825;2.867;PLDP
AC;A1;0119;RAZCEP LJ MALENCE;0;1.098;1020;Razcep Malence-NM;QLTC8;20.888;51;17.881;12;1.989;213;143;140;459;602;PLDP
AC;A1;0019;LJ (MALENCE - DOLENJSKA C.);0;457;2408;Debeli hrib AC;QLTC8;69.667;203;54.785;234;7.197;749;562;909;5.028;5.335;PLDP
AC;A1;0118;PRIKLJ. LJ J (DOLENJSKA C.);0;935;1049;Priklj. LJ J-Malence;QLTC8;15.958;48;13.768;92;1.452;168;131;72;227;400;PLDP
AC;A1;0118;PRIKLJ. LJ J (DOLENJSKA C.);935;1.402;1056;Priklj. LJ J-Kozarje;QLTC8;6.170;28;4.934;6;750;95;99;56;202;274;PLDP
AC;A1;0018;LJ (DOLENJSKA  -  PERUZIJEVA);0;2.098;2409;Barjanska AC;QLTC8;60.607;185;46.456;152;6.567;686;539;908;5.114;5.318;PLDP
AC;A1;0018;LJ (PERUZIJEVA - BARJANSKA);2.098;3.937;178;J Obvoznica;QLTC8;65.000;160;50.635;170;6.800;845;470;1.070;4.850;5.273;PLDP
AC;A1;0017;LJ (BARJANSKA  -  VIÈ);0;2.753;;;P;62.500;150;48.750;190;6.200;830;480;1.000;4.900;5.270;PLDP
AC;A1;0016;LJ (VIÈ  -  KOZARJE);0;803;2403;Dolgi most AC;QLTC8;72.724;208;57.198;278;7.587;818;528;942;5.165;5.510;PLDP
AC;A1;0051;LJ ( KOZARJE - RAZEP KOZARJE);0;838;1016;R Kozarje (LJjug-KP);QLTC8;35.614;118;26.145;215;3.717;352;214;620;4.233;4.213;PLDP
AC;A1;0051;LJ (RAZEP KOZARJE) - BREZOVICA;838;2.408;2404;Majlond AC;QLTC8;73.550;294;55.109;305;7.924;843;515;1.101;7.459;7.495;PLDP
AC;A1;0052;BREZOVICA - VRHNIKA;0;12.427;854;Drenov Griè AC;QLTC8;61.649;267;44.307;298;7.165;727;412;1.101;7.372;7.349;PLDP
AC;A1;0150;PRIKLJ. VRHNIKA - LJ;0;1.120;858;CP Vrhnika-LJ;PRAZNO;12.000;170;10.105;75;850;160;190;170;280;527;PLDP
AC;A1;0150;PRIKLJ. VRHNIKA - KP;1.120;1.321;859;CP Vrhnika-KP;PRAZNO;2.762;32;2.125;8;224;75;109;142;47;217;PLDP
AC;A1;0053;VRHNIKA - LOGATEC;0;8.282;1013;Verd AC;QLTC8;52.411;129;36.327;231;6.539;642;331;1.073;7.139;7.040;PLDP
AC;A1;0151;PRIKLJ. LOGATEC;0;2.437;805;CP Logatec;PRAZNO;9.000;90;7.030;30;900;250;150;300;250;589;PLDP
AC;A1;0054;LOGATEC - UNEC;0;10.411;897;Laze AC;QLTC8;48.404;128;33.448;223;5.516;602;298;1.126;7.063;6.992;PLDP
AC;A1;0152;PRIKLJ. UNEC - LJ;0;404;824;Priklj. Unec-LJ;QLTC8;4.986;15;4.153;16;504;76;43;43;136;192;PLDP
AC;A1;0152;PRIKLJ. UNEC - KP;404;788;825;Priklj. Unec-KP;QLTC8;2.425;8;1.794;4;309;51;38;39;182;208;PLDP
AC;A1;0055;UNEC - POSTOJNA;0;11.378;822;Ravbarkomanda AC;QLTC8;45.976;130;30.068;208;6.350;608;297;968;7.347;7.084;PLDP
AC;A1;0153;PRIKLJ. POSTOJNA - LJ;0;900;826;Priklj. Postojna-LJ;QLTC8;8.828;51;6.921;39;1.128;152;88;67;382;463;PLDP
AC;A1;0153;PRIKLJ. POSTOJNA - KP;900;1.178;827;Priklj. Postojna-KP;QLTC8;3.999;12;3.231;7;481;64;36;28;140;171;PLDP
AC;A1;0056;POSTOJNA - RAZDRTO;0;9.581;2105;Studenec AC;QLTC8;41.155;93;26.380;177;5.702;522;247;930;7.104;6.794;PLDP
AC;A1;0056;RAZDRTO - NANOS;9.581;11.179;2106;Razdrto AC;QLTC8;41.698;91;26.777;178;5.788;534;266;937;7.127;6.829;PLDP
AC;A1;0197;PRIKLJ. RAZDRTO - LJ;0;250;828;Priklj. Razdrto-LJ;QLTC8;925;8;640;2;104;20;38;16;97;111;PLDP
AC;A1;0197;PRIKLJ. RAZDRTO - KP;250;731;829;Priklj. Razdrto-KP;QLTC8;1.468;5;1.038;4;189;32;57;23;120;147;PLDP
AC;A1;0154;RAZCEP NANOS;0;370;894;Razcep Nanos  - LJ;QLTC8;13.609;22;7.693;61;1.570;259;113;484;3.407;3.273;PLDP
AC;A1;0154;RAZCEP NANOS;370;1.663;895;Razcep Nanos  - KP;QLTC8;2.591;8;2.099;5;302;45;20;13;99;114;PLDP
AC;A1;0057;NANOS  -  SENOŽEÈE;0;5.461;1023;Goli vrh AC;QLTC8;30.644;67;21.972;148;3.742;321;174;585;3.635;3.637;PLDP
AC;A1;0155;PRIKLJ. SENOŽEÈE ;0;1.781;818;CP Senožeèe;PRAZNO;1.500;40;924;20;160;60;40;120;136;251;PLDP
AC;A1;0058;SENOŽEÈE  -   GABRK;0;4.371;812;Èebulovica AC;QLTC8;29.914;84;21.392;157;3.528;313;172;567;3.701;3.678;PLDP
AC;A1;0059;GABRK  -  DIVAÈA;0;2.878;2109;Divaèa AC;QLTC8;25.145;84;19.575;79;2.767;233;143;388;1.876;1.986;PLDP
AC;A1;0157;PRIKLJ. DIVAÈA;0;540;808;Priklj. Divaèa -LJ;QLTC8;1.418;6;1.065;7;158;31;10;25;116;131;PLDP
AC;A1;0157;PRIKLJ. DIVAÈA;540;2.231;809;Priklj. Divaèa-KP;QLTC8;2.447;9;1.994;7;195;62;63;11;106;139;PLDP
AC;A1;0060;DIVAÈA - KOZINA;0;7.158;2101;Kozina AC;QLTC8;25.915;84;20.288;77;2.776;262;194;373;1.861;1.988;PLDP
AC;A1;0158;PRIKLJ. KOZINA - LJ;0;700;821;Priklj. Kozina-LJ;QLTC8;3.712;12;2.660;11;432;85;47;64;401;422;PLDP
AC;A1;0158;PRIKLJ. KOZINA - KP;700;2.219;823;Priklj. Kozina-KP;QLTC8;3.803;13;3.034;16;365;61;27;33;254;269;PLDP
AC;A1;0061;KOZINA - KASTELEC;0;8.598;893;Ravne AC;QLTC8;25.864;84;20.534;77;2.696;237;173;343;1.720;1.836;PLDP
AC;A1;0061;KASTELEC - ÈRNI KAL;8.598;11.815;;;P;26.500;100;21.085;80;2.700;235;200;340;1.760;1.877;PLDP
AC;A1;0062;ÈRNI KAL  -  RAZCEP SERMIN;0;6.662;803;Dekani AC;QLTC8;28.394;122;22.760;82;2.806;237;234;331;1.822;1.933;PLDP
AC;A1;0062;RAZCEP SERMIN  -  H5;6.662;7.112;;;P;27.000;120;21.388;80;2.800;230;230;330;1.822;1.927;PLDP
AC;A2;0001;MP KARAVANKE - HRUŠICA;0;5.351;673;MT Karavanke;QLTC8;10.095;26;6.990;90;1.465;87;35;290;1.112;1.223;PLDP
AC;A2;0002;HRUŠICA - LIPCE;0;7.166;1037;Jesenice AC;QLTC8;15.122;58;11.444;84;1.842;156;64;340;1.134;1.307;PLDP
AC;A2;0003;LIPCE - LESCE;0;7.949;646;Lipce AC;QLTC8;22.757;77;18.156;96;2.520;197;123;343;1.245;1.440;PLDP
AC;A2;0103;PRIKLJ. LESCE - JESENICE;0;545;810;Priklj. Lesce-Jesenice;QLTC8;4.997;18;4.378;13;456;45;23;15;49;82;PLDP
AC;A2;0103;PRIKLJ. LESCE - KRANJ;545;1.130;811;Priklj. Lesce-Kranj;QLTC8;11.859;44;10.122;40;1.247;105;90;39;172;260;PLDP
AC;A2;0004;LESCE - RADOVLJICA;0;3.780;1036;Radovljica AC;QLTC8;29.521;100;23.874;125;3.251;259;183;365;1.364;1.612;PLDP
AC;A2;0004;RADOVLJICA - BREZJE;3.780;6.714;1035;Brezje AC;QLTC8;35.551;142;29.117;148;3.752;337;261;375;1.419;1.731;PLDP
AC;A2;0005;BREZJE - PODTABOR;0;5.002;1034;Ljubno AC;QLTC8;36.733;120;30.120;224;3.915;361;222;384;1.387;1.760;PLDP
AC;A2;0006;PODTABOR - NAKLO;0;3.567;1044;Podbrezje AC;QLTC8;41.864;56;34.528;236;4.496;366;346;400;1.436;1.865;PLDP
AC;A2;0006;NAKLO - KRANJ Z;3.567;7.273;647;Naklo AC;QLTC8;42.218;148;35.247;158;4.274;375;247;386;1.383;1.725;PLDP
AC;A2;0007;KRANJ Z - KRANJ V;0;5.692;1033;Kranj Z - Kranj V;QLTC8;36.671;111;30.499;139;3.573;357;227;347;1.418;1.696;PLDP
AC;A2;0008;KRANJ V  -  BRNIK;0;3.898;1032;Voklo AC;QLTC8;43.907;144;36.190;145;4.988;430;216;381;1.413;1.741;PLDP
AC;A2;0009;BRNIK  -  VODICE;0;5.246;850;Voglje AC;QLTC8;46.637;139;38.354;147;5.517;435;231;384;1.430;1.765;PLDP
AC;A2;0010;VODICE  - LJ ( ŠMARTNO);0;6.966;853;Povodje AC;QLTC8;53.104;156;43.961;202;5.920;643;272;428;1.522;1.990;PLDP
AC;A2;0011;LJ (ŠMARTNO  -   BROD);0;2.373;;;P;54.600;160;45.350;200;6.000;650;280;430;1.530;2.001;PLDP
AC;A2;0012;LJ (BROD - ŠENTVID);0;511;;;P;52.000;155;42.775;200;5.900;640;290;440;1.600;2.066;PLDP
AC;A2;0013;LJ (ŠENTVID - PODUTIK);0;3.057;832;Kamna Gorica AC;QLTC8;55.357;185;45.403;90;6.420;618;405;485;1.751;2.179;PLDP
AC;A2;0013;LJ (PODUTIK - KOSEZE);3.057;3.460;;;P;53.500;180;44.290;80;5.800;580;400;470;1.700;2.106;PLDP
AC;A2;0113;RAZCEP KOSEZE;0;878;1011;Razcep Koseze-LJsev;QLTC8;13.934;40;11.814;11;1.405;143;105;80;336;420;PLDP
AC;A2;0014;RAZCEP KOSEZE - KOSEZE ;0;673;1009;R Koseze (KR-Brdo);QLTC8;37.499;149;30.040;84;4.678;458;290;401;1.399;1.738;PLDP
AC;A2;0014;LJ (KOSEZE  -  BRDO);673;1.762;2402;Griè AC;QLTC8;87.001;284;70.275;159;9.421;1.107;751;831;4.173;4.709;PLDP
AC;A2;0015;LJ (BRDO  -  KOZARJE);0;1.700;855;Bokalce AC;QLTC8;73.578;223;58.332;154;8.131;1.077;594;859;4.208;4.692;PLDP
AC;A2;0015;LJ (KOZARJE) - RAZCEP KOZARJE;1.700;2.402;1017;R Kozarje (LJBrdo-LJjug);QLTC8;37.110;90;31.053;63;3.870;466;314;322;932;1.297;PLDP
AC;A2;0115;RAZCEP LJ KOZARJE;0;1.298;1015;Razcep Kozarje-KP;QLTC8;37.936;176;28.965;90;4.206;492;301;481;3.225;3.281;PLDP
AC;A2;0020;LJ (MALENCE)  -  RAZCEP MALENCE;0;484;1019;R Malence (LJjug-NM);QLTC8;33.020;84;26.184;168;3.278;322;226;525;2.233;2.500;PLDP
AC;A2;0020;RAZCEP MALENCE  -  ŠMARJE-SAP;484;6.037;645;Šmarje Sap AC;QLTC8;53.964;97;44.995;201;4.523;555;322;618;2.653;3.037;PLDP
AC;A2;0021;ŠMARJE SAP - CIKAVA;0;1.779;;;P;52.000;95;43.505;200;4.300;450;300;600;2.550;2.900;PLDP
AC;A2;0021;CIKAVA - GROSUPLJE;1.779;3.871;1014;Hrastje AC;QLTC8;43.277;106;34.614;154;4.559;448;285;587;2.524;2.831;PLDP
AC;A2;0022;GROSUPLJE - VIŠNJA GORA;0;6.740;;;P;40.000;90;31.790;150;4.200;430;250;590;2.500;2.794;PLDP
AC;A2;0022;VIŠNJA GORA - IVANÈNA GORICA;6.740;13.038;601;Višnja Gora AC;QLTC8;38.535;80;30.726;148;3.876;414;230;589;2.472;2.757;PLDP
AC;A2;0023;IVANÈNA GORICA - BIÈ;0;6.922;870;Dob AC;QLTC8;30.322;54;23.449;130;3.284;332;186;575;2.312;2.565;PLDP
AC;A2;0072;BIÈ - TREBNJE Z;0;7.403;;;P;29.000;55;22.405;120;3.100;270;180;550;2.320;2.524;PLDP
AC;A2;0072;TREBNJE Z - TREBNJE V;7.403;14.384;;;P;25.500;45;19.325;110;2.900;250;160;490;2.220;2.376;PLDP
AC;A2;0024;TREBNJE V - PRIKLJ. MIRNA PEÈ;0;4.557;;;P;28.500;45;22.225;120;3.000;260;170;450;2.230;2.366;PLDP
AC;A2;0024;PRIKLJ. MIRNA PEÈ  -  NM PRIKLJ. Z;4.557;10.845;806;Zagorica AC;QLTC8;27.115;44;20.694;112;3.121;272;177;460;2.235;2.378;PLDP
AC;A2;0024;NM PRIKLJ. Z - NM PRIKLJ. V;10.845;13.170;;;P;21.500;40;16.640;110;2.000;200;140;370;2.000;2.082;PLDP
AC;A2;0025;NM PRIKLJ.V - KRONOVO;0;6.338;1021;Novo mesto V AC;QLTC8;22.334;38;17.233;106;2.226;226;148;384;1.973;2.079;PLDP
AC;A2;0026;KRONOVO - DOBRUŠKA VAS;0;6.040;602;Draga AC;QLTC8;21.238;38;16.120;110;2.276;222;138;342;1.992;2.059;PLDP
AC;A2;0027;DOBRUŠKA VAS  -  SMEDNIK;0;5.896;;;P;19.500;35;14.825;100;1.900;210;130;350;1.950;2.019;PLDP
AC;A2;0027;SMEDNIK   -  DRNOVO;5.896;13.651;875;Drnovo AC;QLTC8;18.653;34;14.069;104;1.849;208;117;361;1.911;1.994;PLDP
AC;A2;0418;PRIKLJ. DRNOVO - NM;0;2.300;873;Priklj. Drnovo-NM;QLTC8;5.600;13;4.645;5;566;100;61;61;149;223;PLDP
AC;A2;0418;PRIKLJ. DRNOVO - ÈATEŽ;2.300;2.744;874;Priklj. Drnovo-Èatež;QLTC8;1.815;2;1.391;6;204;27;24;24;137;150;PLDP
AC;A2;0028;DRNOVO  -  BREŽICE;0;11.718;2302;Brežice AC;QLTC8;14.951;24;10.849;106;1.502;140;82;328;1.920;1.943;PLDP
AC;A2;0029;BREŽICE - PRIKLJ. OBREŽJE;0;7.008;512;Èatež AC;QLTC8;12.200;47;8.521;100;1.137;116;52;327;1.900;1.905;PLDP
AC;A2;0029;PRIKLJ. OBREŽJE  - OBREŽJE TERMINAL;7.008;7.971;;;P;10.700;15;7.530;95;700;90;50;360;1.860;1.887;PLDP
AC;A2;0029;OBREŽJE TERMINAL - MP OBREŽJE;7.971;8.517;511;MP Obrežje;QLTC8;9.000;13;5.901;95;649;89;46;357;1.850;1.875;PLDP
AC;A3;0068;GABRK - SEŽANA V;0;7.959;813;Dane AC;QLTC8;10.500;11;5.956;78;1.179;177;90;297;2.712;2.546;PLDP
AC;A3;0069;SEŽANA V - SEŽANA Z;0;2.703;;;P;7.000;10;2.840;75;900;150;65;260;2.700;2.488;PLDP
AC;A3;0070;SEŽANA Z  -  FERNETIÈI;0;950;863;Sežana AC;QLTC8;6.061;11;2.568;76;695;89;41;248;2.333;2.159;PLDP
AC;A3;0070;FERNETIÈI - MP FERNETIÈI;950;1.579;653;MT Fernetièi;QLTC8;10.799;104;6.339;91;964;142;62;293;2.804;2.606;PLDP
AC;A3;0486;PRIKLJ. FERNETIÈI;0;628;864;Priklj. Fernetièi;QLTC8;4.426;92;3.683;11;251;47;19;19;304;287;PLDP
AC;A4;0091;SLIVNICA - LETALIŠÈE MB;0;2.365;;;P;22.700;80;17.765;75;2.450;280;120;290;1.640;1.723;PLDP
AC;A4;0091;LETALIŠÈE MB - MARJETA;2.365;6.724;;;P;22.500;80;17.630;70;2.400;270;120;290;1.640;1.716;PLDP
AC;A4;0091;MARJETA - ZLATOLIÈJE;6.724;11.493;890;Prepolje AC;QLTC8;21.412;79;16.672;67;2.310;246;123;285;1.630;1.696;PLDP
AC;A4;0091;ZLATOLIÈJE - HAJDINA;11.493;15.560;;;P;21.000;80;16.645;65;2.000;200;120;280;1.610;1.660;PLDP
AC;A4;0092;HAJDINA - DRAŽENCI;0;4.512;;;P;20.000;80;16.020;60;1.800;170;120;250;1.500;1.535;PLDP
AC;A4;0093;DRAŽENCI -PODLEHNIK;0;5.905;1008;Podlehnik AC;QLTC8;11.233;31;8.554;56;1.198;77;39;132;1.146;1.098;PLDP
AC;A4;0094;PODLEHNIK - GRUŠKOVJE ;0;8.634;1022;Gruškovje AC;QLTC8;8.370;75;6.085;58;938;51;68;106;989;956;PLDP
AC;A5;0806;DRAGUÈOVA - PERNICA;0;6.174;877;Draguèova AC;QLTC8;26.693;46;18.167;126;3.243;369;187;558;3.997;3.908;PLDP
AC;A5;0806;PERNICA - LENART;6.174;11.330;1050;Zamarkova AC;QLTC8;25.848;40;17.740;130;2.994;330;168;498;3.948;3.806;PLDP
AC;A5;0463;PRIKLJ.PERNICA - MB;0;220;878;PR Pernica - MB;QLTC10;1.445;3;1.254;1;143;14;12;4;14;24;PLDP
AC;A5;0463;PRIKLJ.PERNICA - MS;220;419;879;PR Pernica - MS;QLTC10;762;2;663;1;74;7;6;2;7;12;PLDP
AC;A5;0807;LENART - SV.TROJICA;0;5.018;1051;Lormarje AC;QLTC8;20.285;34;12.728;89;2.498;284;146;520;3.986;3.803;PLDP
AC;A5;0808;SV. TROJICA - PRIKLJ. CERKVENJAK;0;4.560;1052;Brengova;QLTC8;19.503;33;12.193;93;2.437;268;124;471;3.884;3.673;PLDP
AC;A5;0808;PRIKLJ. CERKVENJAK - SV. JURIJ OB ŠÈAVNICI;4.560;12.521;1053;Cenkova AC;QLTC8;18.255;32;11.002;85;2.366;274;123;478;3.895;3.683;PLDP
AC;A5;0809;SV.JURIJ OB ŠÈAVNICI - VUÈJA VAS;0;8.510;1054;Dragotinci AC;QLTC8;17.000;22;10.057;68;2.136;262;120;477;3.858;3.636;PLDP
AC;A5;0174;PRIKLJ. VUÈJA VAS - MB;0;400;881;Priklj. Vuèja vas-MB;QLTC10;1.950;4;1.516;3;254;36;22;29;86;113;PLDP
AC;A5;0174;PRIKLJ. VUÈJA VAS  - MS;400;819;882;Priklj. Vuèja vas-MS;QLTC10;1.350;3;1.073;2;141;21;26;13;71;84;PLDP
AC;A5;0810;VUÈJA VAS - MURSKA SOBOTA;0;6.571;841;Vuèja vas AC;QLTC8;16.400;21;9.614;67;2.023;247;124;461;3.843;3.608;PLDP
AC;A5;0175;PRIKLJ. MURSKA SOBOTA - MB;0;2.417;887;Priklj. MS-MB;QLTC8;4.514;8;3.619;9;534;78;85;39;142;204;PLDP
AC;A5;0175;PRIKLJ. MURSKA SOBOTA - LENDAVA;2.417;3.156;888;Priklj. MS-Lendava;QLTC8;1.565;3;1.230;1;128;14;16;32;141;149;PLDP
AC;A5;0811;MURSKA SOBOTA - LIPOVCI;0;3.755;2009;Rakièan AC;QLTC8;13.451;17;7.126;61;1.653;191;77;457;3.869;3.588;PLDP
